who,what,when,where,sentences
Karen,biscuits,last spring,at the cafe,Karen ate biscuits last spring at the cafe.
Anna,burrito,last Saturday,in the kitchen,Anna ate burrito last Saturday in the kitchen.
Ben,pasta,last fall,at the cafe,Ben ate pasta last fall at the cafe.
Ben,steak,last night,in the garden,Ben ate steak last night in the garden.
Sophie,soup,last Monday,at the mall,Sophie ate soup last Monday at the mall.
Mary,hamburger,this morning,at the school,Mary ate hamburger this morning at the school.
Claire,rice,last Thursday,at the cafe,Claire ate rice last Thursday at the cafe.
Joseph,cheese,last winter,in the station,Joseph ate cheese last winter in the station.
Lauren,falafel,last fall,on the rooftop,Lauren ate falafel last fall on the rooftop.
James,ravioli,last month,in the station,James ate ravioli last month in the station.
Karen,steak,today,in the kitchen,Karen ate steak today in the kitchen.
Lisa,rice,last Thursday,in the office,Lisa ate rice last Thursday in the office.
Joseph,toast,last Monday,in the kitchen,Joseph ate toast last Monday in the kitchen.
Sarah,cake,today,at the cafe,Sarah ate cake today at the cafe.
Julia,hot dog,this evening,in the kitchen,Julia ate hot dog this evening in the kitchen.
Linda,pancakes,today,at the restaurant,Linda ate pancakes today at the restaurant.
Rachel,bagel,yesterday,at the school,Rachel ate bagel yesterday at the school.
Richard,risotto,last week,in the office,Richard ate risotto last week in the office.
Olivia,waffles,this evening,in the kitchen,Olivia ate waffles this evening in the kitchen.
Michael,potatoes,recently,in the kitchen,Michael ate potatoes recently in the kitchen.
Lauren,wok,two hours ago,in the station,Lauren ate wok two hours ago in the station.
Charles,pasta,last spring,at the cafe,Charles ate pasta last spring at the cafe.
Mary,burrito,last summer,at the mall,Mary ate burrito last summer at the mall.
Claire,tacos,this morning,at the school,Claire ate tacos this morning at the school.
Sophie,rice,last Friday,in the kitchen,Sophie ate rice last Friday in the kitchen.
Thomas,ravioli,last fall,in the office,Thomas ate ravioli last fall in the office.
Julia,apple pie,last Friday,at the cafe,Julia ate apple pie last Friday at the cafe.
Elizabeth,beef,last Sunday,in the station,Elizabeth ate beef last Sunday in the station.
Linda,fish,last Sunday,at the restaurant,Linda ate fish last Sunday at the restaurant.
Alice,burrito,recently,in the kitchen,Alice ate burrito recently in the kitchen.
Emma,bread,last fall,in the kitchen,Emma ate bread last fall in the kitchen.
Alice,soup,today,on the rooftop,Alice ate soup today on the rooftop.
Mary,curry,lately,at the mall,Mary ate curry lately at the mall.
Rachel,lasagna,last Saturday,on the rooftop,Rachel ate lasagna last Saturday on the rooftop.
Paul,soup,last Thursday,in the garden,Paul ate soup last Thursday in the garden.
Ben,beef,this weekend,at the school,Ben ate beef this weekend at the school.
Jason,beef,this morning,at the cafe,Jason ate beef this morning at the cafe.
Sophie,salad,last Wednesday,in the park,Sophie ate salad last Wednesday in the park.
Richard,omelette,last Wednesday,at the mall,Richard ate omelette last Wednesday at the mall.
Elizabeth,toast,yesterday,in the park,Elizabeth ate toast yesterday in the park.
Jason,waffles,last winter,at the cafe,Jason ate waffles last winter at the cafe.
Matthew,potatoes,last fall,at the school,Matthew ate potatoes last fall at the school.
Elizabeth,beef,lately,on the rooftop,Elizabeth ate beef lately on the rooftop.
Ethan,biscuits,last Tuesday,in the station,Ethan ate biscuits last Tuesday in the station.
Daniel,falafel,yesterday,in the kitchen,Daniel ate falafel yesterday in the kitchen.
Emily,cheese,last Friday,on the rooftop,Emily ate cheese last Friday on the rooftop.
Jessica,pancakes,last Saturday,in the garden,Jessica ate pancakes last Saturday in the garden.
Lisa,fried chicken,last winter,in the office,Lisa ate fried chicken last winter in the office.
Elizabeth,spaghetti,yesterday,at the school,Elizabeth ate spaghetti yesterday at the school.
Ethan,pizza,last year,at the mall,Ethan ate pizza last year at the mall.
Mark,pizza,last Friday,in the kitchen,Mark ate pizza last Friday in the kitchen.
Michael,salad,last week,in the station,Michael ate salad last week in the station.
James,noodle,last winter,in the station,James ate noodle last winter in the station.
Sam,toast,two hours ago,in the office,Sam ate toast two hours ago in the office.
Michael,doughnuts,last night,at the restaurant,Michael ate doughnuts last night at the restaurant.
Claire,salad,last Tuesday,at the restaurant,Claire ate salad last Tuesday at the restaurant.
Anna,beef,last Thursday,in the park,Anna ate beef last Thursday in the park.
Mary,banana,last Thursday,at the cafe,Mary ate banana last Thursday at the cafe.
David,noodle,last year,in the kitchen,David ate noodle last year in the kitchen.
James,noodle,last year,in the station,James ate noodle last year in the station.
Ben,waffles,last Sunday,in the station,Ben ate waffles last Sunday in the station.
Emily,nachos,last Saturday,in the garden,Emily ate nachos last Saturday in the garden.
Karen,rice,this afternoon,at the restaurant,Karen ate rice this afternoon at the restaurant.
Sophie,hot dog,last week,in the garden,Sophie ate hot dog last week in the garden.
Linda,ravioli,recently,at the restaurant,Linda ate ravioli recently at the restaurant.
Jason,falafel,last year,in the garden,Jason ate falafel last year in the garden.
Elizabeth,steak,yesterday,in the garden,Elizabeth ate steak yesterday in the garden.
Mark,burrito,today,in the garden,Mark ate burrito today in the garden.
James,nachos,last week,at the mall,James ate nachos last week at the mall.
Chris,rice,recently,in the office,Chris ate rice recently in the office.
Charles,pizza,last month,at the school,Charles ate pizza last month at the school.
Ethan,ravioli,this evening,in the station,Ethan ate ravioli this evening in the station.
Mark,burrito,last Tuesday,at the restaurant,Mark ate burrito last Tuesday at the restaurant.
James,biscuits,this evening,in the station,James ate biscuits this evening in the station.
James,fried chicken,this evening,at the school,James ate fried chicken this evening at the school.
Daniel,banana,last Wednesday,at the school,Daniel ate banana last Wednesday at the school.
Daniel,burrito,two hours ago,in the office,Daniel ate burrito two hours ago in the office.
William,rice,today,in the station,William ate rice today in the station.
John,toast,last Tuesday,on the rooftop,John ate toast last Tuesday on the rooftop.
Lucas,ravioli,lately,in the park,Lucas ate ravioli lately in the park.
Ben,doughnuts,last Monday,in the office,Ben ate doughnuts last Monday in the office.
William,pizza,last Wednesday,in the kitchen,William ate pizza last Wednesday in the kitchen.
Olivia,steak,this evening,in the park,Olivia ate steak this evening in the park.
Daniel,burrito,last Friday,at the restaurant,Daniel ate burrito last Friday at the restaurant.
Daniel,apple pie,last Monday,on the rooftop,Daniel ate apple pie last Monday on the rooftop.
Daniel,tacos,last month,in the garden,Daniel ate tacos last month in the garden.
Jessica,spaghetti,last year,in the park,Jessica ate spaghetti last year in the park.
Thomas,bagel,last fall,at the mall,Thomas ate bagel last fall at the mall.
Mary,wok,last Thursday,at the school,Mary ate wok last Thursday at the school.
Joseph,curry,this morning,in the kitchen,Joseph ate curry this morning in the kitchen.
Mary,tacos,this morning,at the cafe,Mary ate tacos this morning at the cafe.
Claire,doughnuts,recently,at the school,Claire ate doughnuts recently at the school.
Mark,sandwich,last Thursday,in the park,Mark ate sandwich last Thursday in the park.
Ben,tacos,last month,at the restaurant,Ben ate tacos last month at the restaurant.
Alice,potatoes,last Tuesday,in the office,Alice ate potatoes last Tuesday in the office.
Sarah,soup,last fall,at the cafe,Sarah ate soup last fall at the cafe.
James,omelette,this morning,in the garden,James ate omelette this morning in the garden.
Sam,bread,last Friday,at the school,Sam ate bread last Friday at the school.
Alice,pancakes,last month,at the school,Alice ate pancakes last month at the school.
Lauren,sushi,lately,in the office,Lauren ate sushi lately in the office.
Robert,beef,last spring,at the mall,Robert ate beef last spring at the mall.
Sam,salad,last Saturday,on the rooftop,Sam ate salad last Saturday on the rooftop.
Jason,pancakes,one hour ago,in the kitchen,Jason ate pancakes one hour ago in the kitchen.
Julia,doughnuts,recently,in the park,Julia ate doughnuts recently in the park.
Daniel,curry,yesterday,at the school,Daniel ate curry yesterday at the school.
David,bread,last winter,in the garden,David ate bread last winter in the garden.
Lauren,sandwich,last week,in the station,Lauren ate sandwich last week in the station.
Richard,potatoes,last month,at the mall,Richard ate potatoes last month at the mall.
Jason,apple pie,last winter,in the station,Jason ate apple pie last winter in the station.
Michael,fried chicken,yesterday,in the office,Michael ate fried chicken yesterday in the office.
Jason,burrito,this evening,in the park,Jason ate burrito this evening in the park.
Charles,toast,last Monday,in the park,Charles ate toast last Monday in the park.
Lisa,bagel,two hours ago,at the mall,Lisa ate bagel two hours ago at the mall.
Alice,potatoes,last year,at the school,Alice ate potatoes last year at the school.
Ethan,potatoes,last Monday,in the office,Ethan ate potatoes last Monday in the office.
Alice,soup,today,at the restaurant,Alice ate soup today at the restaurant.
Sarah,carbonara,last Wednesday,on the rooftop,Sarah ate carbonara last Wednesday on the rooftop.
John,curry,this morning,at the mall,John ate curry this morning at the mall.
John,cake,last summer,on the rooftop,John ate cake last summer on the rooftop.
Julia,wok,this evening,at the mall,Julia ate wok this evening at the mall.
Claire,toast,last summer,in the station,Claire ate toast last summer in the station.
Michael,omelette,today,in the station,Michael ate omelette today in the station.
Sophie,biscuits,one hour ago,at the mall,Sophie ate biscuits one hour ago at the mall.
Charles,burrito,last week,in the park,Charles ate burrito last week in the park.
Sarah,wok,last spring,at the cafe,Sarah ate wok last spring at the cafe.
Lisa,salad,last Sunday,in the garden,Lisa ate salad last Sunday in the garden.
Thomas,banana,recently,at the cafe,Thomas ate banana recently at the cafe.
Alice,hamburger,this evening,in the park,Alice ate hamburger this evening in the park.
Sam,chicken wings,last Saturday,in the office,Sam ate chicken wings last Saturday in the office.
Sophie,waffles,this weekend,in the office,Sophie ate waffles this weekend in the office.
Joseph,pancakes,last year,on the rooftop,Joseph ate pancakes last year on the rooftop.
Sam,risotto,last Wednesday,in the park,Sam ate risotto last Wednesday in the park.
Sarah,salad,this afternoon,at the restaurant,Sarah ate salad this afternoon at the restaurant.
Mark,bagel,last Wednesday,on the rooftop,Mark ate bagel last Wednesday on the rooftop.
Lisa,nachos,yesterday,in the office,Lisa ate nachos yesterday in the office.
Ben,bagel,last spring,at the school,Ben ate bagel last spring at the school.
Rachel,sushi,lately,in the station,Rachel ate sushi lately in the station.
Emily,sandwich,last week,at the school,Emily ate sandwich last week at the school.
Richard,banana,last winter,at the cafe,Richard ate banana last winter at the cafe.
Ethan,beef,last Saturday,at the cafe,Ethan ate beef last Saturday at the cafe.
Charles,burrito,last year,in the office,Charles ate burrito last year in the office.
Jennifer,noodle,last winter,on the rooftop,Jennifer ate noodle last winter on the rooftop.
Chris,biscuits,this weekend,at the mall,Chris ate biscuits this weekend at the mall.
Emma,hamburger,this afternoon,in the kitchen,Emma ate hamburger this afternoon in the kitchen.
Karen,hamburger,last spring,at the cafe,Karen ate hamburger last spring at the cafe.
Alice,tacos,last night,in the park,Alice ate tacos last night in the park.
Mark,rice,last Friday,in the garden,Mark ate rice last Friday in the garden.
Elizabeth,curry,last spring,on the rooftop,Elizabeth ate curry last spring on the rooftop.
Paul,sandwich,this evening,in the station,Paul ate sandwich this evening in the station.
Hannah,banana,this weekend,on the rooftop,Hannah ate banana this weekend on the rooftop.
Ben,curry,last Monday,in the park,Ben ate curry last Monday in the park.
Ethan,potatoes,last night,in the park,Ethan ate potatoes last night in the park.
Olivia,carbonara,one hour ago,at the restaurant,Olivia ate carbonara one hour ago at the restaurant.
John,bagel,last Sunday,in the garden,John ate bagel last Sunday in the garden.
Ethan,salad,yesterday,in the office,Ethan ate salad yesterday in the office.
Olivia,fish,this weekend,in the garden,Olivia ate fish this weekend in the garden.
Emily,nachos,last year,at the restaurant,Emily ate nachos last year at the restaurant.
Rachel,banana,two hours ago,at the restaurant,Rachel ate banana two hours ago at the restaurant.
Rachel,pancakes,last Sunday,in the kitchen,Rachel ate pancakes last Sunday in the kitchen.
Jessica,salad,last week,in the office,Jessica ate salad last week in the office.
Robert,soup,last Saturday,at the mall,Robert ate soup last Saturday at the mall.
Alice,pancakes,last Thursday,in the station,Alice ate pancakes last Thursday in the station.
Elizabeth,noodle,last Sunday,on the rooftop,Elizabeth ate noodle last Sunday on the rooftop.
Paul,waffles,last spring,in the park,Paul ate waffles last spring in the park.
Ben,beef,recently,in the station,Ben ate beef recently in the station.
Claire,cake,two hours ago,in the garden,Claire ate cake two hours ago in the garden.
Karen,pasta,last Thursday,on the rooftop,Karen ate pasta last Thursday on the rooftop.
Chris,burrito,last Friday,at the mall,Chris ate burrito last Friday at the mall.
Thomas,tacos,last Saturday,on the rooftop,Thomas ate tacos last Saturday on the rooftop.
David,toast,last Thursday,in the garden,David ate toast last Thursday in the garden.
Daniel,bread,last Sunday,at the mall,Daniel ate bread last Sunday at the mall.
Olivia,steak,last Saturday,at the cafe,Olivia ate steak last Saturday at the cafe.
Jennifer,salad,last Friday,at the restaurant,Jennifer ate salad last Friday at the restaurant.
Michael,hamburger,last Tuesday,at the restaurant,Michael ate hamburger last Tuesday at the restaurant.
Lisa,risotto,this weekend,in the park,Lisa ate risotto this weekend in the park.
Richard,bread,last night,in the station,Richard ate bread last night in the station.
Karen,curry,one hour ago,at the mall,Karen ate curry one hour ago at the mall.
Mark,pancakes,last year,in the office,Mark ate pancakes last year in the office.
Jessica,beef,last week,at the school,Jessica ate beef last week at the school.
Claire,beef,last year,at the cafe,Claire ate beef last year at the cafe.
Jason,burrito,recently,in the station,Jason ate burrito recently in the station.
Jessica,apple pie,this evening,at the restaurant,Jessica ate apple pie this evening at the restaurant.
Claire,lasagna,this evening,in the garden,Claire ate lasagna this evening in the garden.
Elizabeth,lasagna,last fall,in the station,Elizabeth ate lasagna last fall in the station.
Rachel,pasta,last year,at the restaurant,Rachel ate pasta last year at the restaurant.
Julia,cereal,yesterday,in the office,Julia ate cereal yesterday in the office.
James,cheese,last Friday,in the park,James ate cheese last Friday in the park.
Jason,apple pie,this morning,in the office,Jason ate apple pie this morning in the office.
Olivia,wok,yesterday,in the kitchen,Olivia ate wok yesterday in the kitchen.
Lauren,fried chicken,last Tuesday,in the park,Lauren ate fried chicken last Tuesday in the park.
Sarah,nachos,last Sunday,at the restaurant,Sarah ate nachos last Sunday at the restaurant.
Kimberly,risotto,yesterday,in the kitchen,Kimberly ate risotto yesterday in the kitchen.
Sophie,salad,lately,in the garden,Sophie ate salad lately in the garden.
Linda,nachos,last week,at the school,Linda ate nachos last week at the school.
Elizabeth,beef,last Tuesday,on the rooftop,Elizabeth ate beef last Tuesday on the rooftop.
Chris,steak,this morning,in the garden,Chris ate steak this morning in the garden.
Richard,pizza,last year,at the school,Richard ate pizza last year at the school.
Linda,falafel,two hours ago,at the restaurant,Linda ate falafel two hours ago at the restaurant.
Lucas,sandwich,last month,at the cafe,Lucas ate sandwich last month at the cafe.
Ethan,risotto,last Sunday,on the rooftop,Ethan ate risotto last Sunday on the rooftop.
Olivia,hamburger,last Sunday,at the cafe,Olivia ate hamburger last Sunday at the cafe.
Matthew,salad,today,in the station,Matthew ate salad today in the station.
Lisa,toast,last month,in the station,Lisa ate toast last month in the station.
Olivia,fish,last spring,in the garden,Olivia ate fish last spring in the garden.
Ben,apple pie,last Thursday,at the mall,Ben ate apple pie last Thursday at the mall.
David,wok,last fall,at the cafe,David ate wok last fall at the cafe.
David,cake,last Thursday,on the rooftop,David ate cake last Thursday on the rooftop.
Charles,omelette,this evening,in the park,Charles ate omelette this evening in the park.
Alice,sandwich,last week,at the mall,Alice ate sandwich last week at the mall.
Rachel,spaghetti,last summer,at the cafe,Rachel ate spaghetti last summer at the cafe.
Olivia,hamburger,today,in the garden,Olivia ate hamburger today in the garden.
Charles,wok,last Tuesday,on the rooftop,Charles ate wok last Tuesday on the rooftop.
Emily,wok,this weekend,at the cafe,Emily ate wok this weekend at the cafe.
William,beef,last night,at the mall,William ate beef last night at the mall.
Claire,pizza,lately,on the rooftop,Claire ate pizza lately on the rooftop.
Jessica,falafel,last week,at the mall,Jessica ate falafel last week at the mall.
Mark,toast,this afternoon,at the cafe,Mark ate toast this afternoon at the cafe.
Sarah,banana,two hours ago,at the restaurant,Sarah ate banana two hours ago at the restaurant.
Charles,sandwich,one hour ago,at the cafe,Charles ate sandwich one hour ago at the cafe.
Jessica,doughnuts,last week,at the restaurant,Jessica ate doughnuts last week at the restaurant.
Ben,beef,today,at the restaurant,Ben ate beef today at the restaurant.
Anna,carbonara,last year,at the restaurant,Anna ate carbonara last year at the restaurant.
Emily,sandwich,last fall,at the cafe,Emily ate sandwich last fall at the cafe.
David,hamburger,last Sunday,in the garden,David ate hamburger last Sunday in the garden.
Anna,chicken wings,last month,in the kitchen,Anna ate chicken wings last month in the kitchen.
Jason,cereal,this morning,on the rooftop,Jason ate cereal this morning on the rooftop.
Kimberly,spaghetti,last spring,in the office,Kimberly ate spaghetti last spring in the office.
Linda,fried chicken,last Saturday,in the park,Linda ate fried chicken last Saturday in the park.
Elizabeth,falafel,last fall,at the restaurant,Elizabeth ate falafel last fall at the restaurant.
Charles,sandwich,recently,in the station,Charles ate sandwich recently in the station.
Richard,carbonara,last night,at the cafe,Richard ate carbonara last night at the cafe.
Chris,apple pie,last night,at the mall,Chris ate apple pie last night at the mall.
Lisa,omelette,last Wednesday,in the station,Lisa ate omelette last Wednesday in the station.
Matthew,bread,recently,in the kitchen,Matthew ate bread recently in the kitchen.
Joseph,fish,last night,at the school,Joseph ate fish last night at the school.
Olivia,fish,this afternoon,in the office,Olivia ate fish this afternoon in the office.
Daniel,hot dog,last winter,on the rooftop,Daniel ate hot dog last winter on the rooftop.
Richard,cereal,last month,in the kitchen,Richard ate cereal last month in the kitchen.
Lauren,cheese,recently,in the station,Lauren ate cheese recently in the station.
Jessica,risotto,lately,at the restaurant,Jessica ate risotto lately at the restaurant.
Mark,hot dog,last Monday,in the kitchen,Mark ate hot dog last Monday in the kitchen.
Mark,pancakes,this weekend,in the station,Mark ate pancakes this weekend in the station.
David,burrito,lately,on the rooftop,David ate burrito lately on the rooftop.
Jason,fried chicken,last winter,in the office,Jason ate fried chicken last winter in the office.
Claire,lasagna,last summer,in the kitchen,Claire ate lasagna last summer in the kitchen.
Claire,risotto,last Friday,on the rooftop,Claire ate risotto last Friday on the rooftop.
Ben,fish,last Saturday,in the park,Ben ate fish last Saturday in the park.
William,nachos,today,at the cafe,William ate nachos today at the cafe.
Olivia,curry,last night,in the office,Olivia ate curry last night in the office.
Lucas,lasagna,last night,in the office,Lucas ate lasagna last night in the office.
Hannah,apple pie,this weekend,at the school,Hannah ate apple pie this weekend at the school.
Hannah,pasta,this evening,at the cafe,Hannah ate pasta this evening at the cafe.
Julia,waffles,last Saturday,in the park,Julia ate waffles last Saturday in the park.
Jennifer,beef,last Friday,in the office,Jennifer ate beef last Friday in the office.
Olivia,sandwich,last summer,on the rooftop,Olivia ate sandwich last summer on the rooftop.
Linda,sushi,last fall,in the office,Linda ate sushi last fall in the office.
Karen,tacos,this evening,at the cafe,Karen ate tacos this evening at the cafe.
Michael,chicken wings,last spring,in the kitchen,Michael ate chicken wings last spring in the kitchen.
Hannah,lasagna,this morning,in the park,Hannah ate lasagna this morning in the park.
Olivia,wok,this weekend,in the station,Olivia ate wok this weekend in the station.
Joseph,tacos,this afternoon,in the park,Joseph ate tacos this afternoon in the park.
William,beef,today,on the rooftop,William ate beef today on the rooftop.
Matthew,hot dog,last Saturday,at the mall,Matthew ate hot dog last Saturday at the mall.
Paul,bread,last spring,at the school,Paul ate bread last spring at the school.
Claire,wok,this evening,at the cafe,Claire ate wok this evening at the cafe.
Jessica,curry,recently,in the park,Jessica ate curry recently in the park.
Sarah,spaghetti,last Saturday,in the kitchen,Sarah ate spaghetti last Saturday in the kitchen.
Mary,wok,last month,at the school,Mary ate wok last month at the school.
Hannah,pasta,this weekend,in the park,Hannah ate pasta this weekend in the park.
Emily,fish,yesterday,on the rooftop,Emily ate fish yesterday on the rooftop.
Paul,hot dog,one hour ago,in the kitchen,Paul ate hot dog one hour ago in the kitchen.
Claire,wok,this evening,in the garden,Claire ate wok this evening in the garden.
Alice,hamburger,last Wednesday,at the cafe,Alice ate hamburger last Wednesday at the cafe.
Sophie,doughnuts,last winter,at the cafe,Sophie ate doughnuts last winter at the cafe.
Kimberly,soup,last Wednesday,at the restaurant,Kimberly ate soup last Wednesday at the restaurant.
Elizabeth,fried chicken,recently,in the office,Elizabeth ate fried chicken recently in the office.
Charles,hamburger,last Thursday,in the kitchen,Charles ate hamburger last Thursday in the kitchen.
Hannah,salad,last month,at the mall,Hannah ate salad last month at the mall.
Thomas,risotto,last spring,in the garden,Thomas ate risotto last spring in the garden.
Robert,potatoes,last Thursday,in the garden,Robert ate potatoes last Thursday in the garden.
Ben,bread,last summer,at the school,Ben ate bread last summer at the school.
Sam,carbonara,last month,in the garden,Sam ate carbonara last month in the garden.
Ethan,hot dog,last Wednesday,in the office,Ethan ate hot dog last Wednesday in the office.
Rachel,steak,last week,at the cafe,Rachel ate steak last week at the cafe.
Ethan,biscuits,this evening,at the mall,Ethan ate biscuits this evening at the mall.
Sophie,ravioli,two hours ago,in the office,Sophie ate ravioli two hours ago in the office.
Mary,pancakes,last year,in the kitchen,Mary ate pancakes last year in the kitchen.
Chris,pasta,last month,in the station,Chris ate pasta last month in the station.
Sam,falafel,last Sunday,on the rooftop,Sam ate falafel last Sunday on the rooftop.
Linda,noodle,yesterday,in the garden,Linda ate noodle yesterday in the garden.
Chris,tacos,last year,at the school,Chris ate tacos last year at the school.
Jennifer,banana,this afternoon,at the cafe,Jennifer ate banana this afternoon at the cafe.
Jason,apple pie,this evening,on the rooftop,Jason ate apple pie this evening on the rooftop.
Mark,ravioli,this evening,in the kitchen,Mark ate ravioli this evening in the kitchen.
Olivia,cheese,this afternoon,in the garden,Olivia ate cheese this afternoon in the garden.
Mary,cheese,this afternoon,at the restaurant,Mary ate cheese this afternoon at the restaurant.
Mark,falafel,this weekend,in the garden,Mark ate falafel this weekend in the garden.
Elizabeth,pancakes,lately,in the garden,Elizabeth ate pancakes lately in the garden.
Sophie,apple pie,this morning,in the kitchen,Sophie ate apple pie this morning in the kitchen.
Matthew,hamburger,this afternoon,in the office,Matthew ate hamburger this afternoon in the office.
Anna,pasta,one hour ago,in the office,Anna ate pasta one hour ago in the office.
Linda,falafel,last spring,in the garden,Linda ate falafel last spring in the garden.
Chris,doughnuts,two hours ago,at the cafe,Chris ate doughnuts two hours ago at the cafe.
Paul,waffles,last summer,at the school,Paul ate waffles last summer at the school.
Karen,cereal,one hour ago,in the kitchen,Karen ate cereal one hour ago in the kitchen.
Robert,soup,last night,in the station,Robert ate soup last night in the station.
Mary,pizza,last month,at the cafe,Mary ate pizza last month at the cafe.
Matthew,burrito,last spring,in the kitchen,Matthew ate burrito last spring in the kitchen.
Paul,potatoes,last week,in the kitchen,Paul ate potatoes last week in the kitchen.
Linda,wok,this evening,at the cafe,Linda ate wok this evening at the cafe.
Rachel,cereal,last summer,in the station,Rachel ate cereal last summer in the station.
Charles,banana,today,in the station,Charles ate banana today in the station.
Emily,sushi,last Tuesday,on the rooftop,Emily ate sushi last Tuesday on the rooftop.
Lauren,waffles,last Thursday,at the mall,Lauren ate waffles last Thursday at the mall.
Jason,cereal,this morning,in the station,Jason ate cereal this morning in the station.
Alice,chicken wings,this afternoon,at the school,Alice ate chicken wings this afternoon at the school.
Olivia,curry,yesterday,in the office,Olivia ate curry yesterday in the office.
Lauren,banana,last Tuesday,at the school,Lauren ate banana last Tuesday at the school.
Matthew,banana,last winter,in the kitchen,Matthew ate banana last winter in the kitchen.
Emily,bread,two hours ago,in the kitchen,Emily ate bread two hours ago in the kitchen.
Paul,toast,last winter,at the restaurant,Paul ate toast last winter at the restaurant.
Emma,noodle,last night,at the mall,Emma ate noodle last night at the mall.
Rachel,spaghetti,last Tuesday,at the cafe,Rachel ate spaghetti last Tuesday at the cafe.
Paul,salad,last Wednesday,at the school,Paul ate salad last Wednesday at the school.
Lauren,chicken wings,today,in the station,Lauren ate chicken wings today in the station.
Robert,doughnuts,this weekend,at the mall,Robert ate doughnuts this weekend at the mall.
Karen,hamburger,this morning,in the garden,Karen ate hamburger this morning in the garden.
Lauren,pancakes,last Tuesday,in the kitchen,Lauren ate pancakes last Tuesday in the kitchen.
Joseph,hot dog,this morning,in the garden,Joseph ate hot dog this morning in the garden.
James,waffles,last fall,at the restaurant,James ate waffles last fall at the restaurant.
Charles,apple pie,this afternoon,at the school,Charles ate apple pie this afternoon at the school.
Elizabeth,cheese,today,at the school,Elizabeth ate cheese today at the school.
Jessica,pasta,last week,at the cafe,Jessica ate pasta last week at the cafe.
John,cereal,last winter,at the mall,John ate cereal last winter at the mall.
Olivia,carbonara,last fall,at the cafe,Olivia ate carbonara last fall at the cafe.
Hannah,hot dog,last year,at the restaurant,Hannah ate hot dog last year at the restaurant.
Robert,hot dog,last Tuesday,in the office,Robert ate hot dog last Tuesday in the office.
Alice,wok,last night,at the cafe,Alice ate wok last night at the cafe.
Kimberly,pancakes,this weekend,on the rooftop,Kimberly ate pancakes this weekend on the rooftop.
Paul,bagel,this weekend,on the rooftop,Paul ate bagel this weekend on the rooftop.
Robert,noodle,this afternoon,at the school,Robert ate noodle this afternoon at the school.
Alice,sushi,this afternoon,at the mall,Alice ate sushi this afternoon at the mall.
Emma,soup,last spring,at the cafe,Emma ate soup last spring at the cafe.
Chris,toast,last Thursday,at the restaurant,Chris ate toast last Thursday at the restaurant.
Mark,curry,last night,in the station,Mark ate curry last night in the station.
Michael,rice,last Thursday,on the rooftop,Michael ate rice last Thursday on the rooftop.
Emily,chicken wings,last year,in the kitchen,Emily ate chicken wings last year in the kitchen.
Alice,lasagna,this afternoon,in the office,Alice ate lasagna this afternoon in the office.
Olivia,biscuits,one hour ago,in the station,Olivia ate biscuits one hour ago in the station.
William,noodle,this morning,on the rooftop,William ate noodle this morning on the rooftop.
Ben,beef,last month,in the park,Ben ate beef last month in the park.
Jennifer,cereal,this evening,at the cafe,Jennifer ate cereal this evening at the cafe.
David,banana,recently,in the kitchen,David ate banana recently in the kitchen.
David,fried chicken,last year,in the office,David ate fried chicken last year in the office.
Anna,falafel,last Friday,in the garden,Anna ate falafel last Friday in the garden.
Hannah,tacos,last Monday,in the kitchen,Hannah ate tacos last Monday in the kitchen.
Mary,potatoes,last Tuesday,in the station,Mary ate potatoes last Tuesday in the station.
Julia,spaghetti,yesterday,at the mall,Julia ate spaghetti yesterday at the mall.
Michael,doughnuts,last Sunday,at the school,Michael ate doughnuts last Sunday at the school.
Joseph,fish,last Friday,at the restaurant,Joseph ate fish last Friday at the restaurant.
Paul,potatoes,last summer,in the kitchen,Paul ate potatoes last summer in the kitchen.
Chris,steak,last fall,in the garden,Chris ate steak last fall in the garden.
Ben,curry,yesterday,in the station,Ben ate curry yesterday in the station.
Julia,fried chicken,last Thursday,at the restaurant,Julia ate fried chicken last Thursday at the restaurant.
Hannah,chicken wings,last week,at the school,Hannah ate chicken wings last week at the school.
Elizabeth,biscuits,this weekend,in the station,Elizabeth ate biscuits this weekend in the station.
Jason,lasagna,last Friday,at the cafe,Jason ate lasagna last Friday at the cafe.
Paul,bread,last month,at the cafe,Paul ate bread last month at the cafe.
Kimberly,cheese,last Thursday,in the kitchen,Kimberly ate cheese last Thursday in the kitchen.
Jessica,rice,last week,at the mall,Jessica ate rice last week at the mall.
Matthew,hamburger,last fall,at the cafe,Matthew ate hamburger last fall at the cafe.
Sophie,pasta,last Monday,at the school,Sophie ate pasta last Monday at the school.
Emma,burrito,one hour ago,in the office,Emma ate burrito one hour ago in the office.
Elizabeth,nachos,lately,in the garden,Elizabeth ate nachos lately in the garden.
Daniel,pizza,yesterday,at the mall,Daniel ate pizza yesterday at the mall.
Linda,waffles,last Tuesday,in the park,Linda ate waffles last Tuesday in the park.
Jennifer,apple pie,yesterday,at the restaurant,Jennifer ate apple pie yesterday at the restaurant.
Sam,spaghetti,this evening,in the station,Sam ate spaghetti this evening in the station.
Claire,fish,last Saturday,at the cafe,Claire ate fish last Saturday at the cafe.
Olivia,potatoes,last fall,at the mall,Olivia ate potatoes last fall at the mall.
Jason,nachos,this afternoon,in the station,Jason ate nachos this afternoon in the station.
Olivia,cheese,lately,at the school,Olivia ate cheese lately at the school.
